2.0000000e+00   3.2312052e+00  -8.6418495e-01  -1.2354019e+00  -1.9121388e+00   3.3467534e-01   3.5318366e-02  -1.6310373e+00   7.7351603e-01   1.3062619e-01   5.2198881e-01  -1.7215381e+00  -6.8749619e-01
2.0000000e+00  -3.5942456e-01   6.3190323e-01  -7.7181989e-01   6.4803315e-01   2.0896027e-01   5.2540523e-01   9.6799469e-01   7.2457069e-01   1.8578047e+00  -5.1722606e-01   7.7557008e-01   9.5291730e-01
2.0000000e+00   6.0084979e-01  -1.3193260e+00   1.3176541e+00  -4.3911748e-01  -3.6490298e+00  -1.5638029e+00  -1.2738755e+00   8.8074538e-02   9.9836612e-01  -1.8598105e-02  -1.5921701e-01  -6.1116451e-01
2.0000000e+00  -6.8339185e-01   1.4284763e+00   1.7505949e+00  -1.8179770e+00  -1.6421819e+00   1.1132155e+00  -1.2603915e+00   6.0953220e-01   4.0570173e-01   1.8741208e-02   1.5206563e+00  -3.5317315e-01
1.0000000e+00   3.7490618e-01   3.8336479e-01  -3.2048522e-01   3.3247823e-01  -4.1531662e-01   2.5661648e-01   4.9160330e-01   9.4377871e-01   1.3950963e+00   5.4387257e-02   2.5472670e-01  -5.7871998e-01
2.0000000e+00   1.4450228e-01  -1.6773768e+00  -1.3125929e+00   1.2142433e+00  -5.6243007e-02  -1.5342086e-01   1.2209495e+00   1.0720420e+00  -1.5725667e+00  -1.1834803e+00  -8.9902915e-01   1.3057739e+00
2.0000000e+00   2.6179356e+00  -6.3585253e-01  -1.7001985e+00   2.5860975e-01  -8.7582488e-02  -1.3127912e+00  -1.3657064e+00  -2.0914288e+00   1.4238493e+00   1.7133370e-01  -9.4642003e-01   9.9935270e-01
2.0000000e+00   1.3774595e+00  -3.1710145e-01   1.8242650e+00   4.2806489e-01   6.7434199e-01   2.8422182e-01   1.7809509e+00  -2.1137802e-01   4.4931237e-01  -1.0156514e+00  -1.8006608e+00   3.5091580e-01
2.0000000e+00   8.4242117e-01   1.1564560e-01   1.0558912e+00   3.7728185e-01   8.4012164e-01  -2.0198712e+00  -1.7318270e+00  -9.9726138e-01   1.2152968e+00  -1.5617165e+00  -1.9436797e+00   4.6694210e-01
2.0000000e+00  -9.1035983e-01  -4.0644902e-01   8.2752392e-01  -6.7331744e-01   1.7155238e-01  -9.8622002e-01   6.5848855e-01   6.4402371e-01   3.0060875e-01   4.3160682e-01   3.4517400e-01  -1.3425324e+00
